,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
1660,JAZZ,Jazz Pharmaceuticals plc,138.18,$8.28B,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jazz,
1661,JD,"JD.com, Inc.",38.63,$55.01B,2014,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/jd,
1662,JSYN,Jensyn Acquistion Corp.,10.315,$53.32M,2016,Finance,Business Services,http://www.nasdaq.com/symbol/jsyn,
1663,JSYNR,Jensyn Acquistion Corp.,0.5,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/jsynr,
1664,JSYNU,Jensyn Acquistion Corp.,10.98,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/jsynu,
1665,JSYNW,Jensyn Acquistion Corp.,0.26,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/jsynw,
1666,JBLU,JetBlue Airways Corporation,19.67,$6.31B,2002,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/jblu,
1667,JTPY,JetPay Corporation,2.06,$32.29M,2011,Finance,Business Services,http://www.nasdaq.com/symbol/jtpy,
1668,JCTCF,Jewett-Cameron Trading Company,15.5,$34.63M,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/jctcf,
1669,WYIG,JM Global Holding Company,9.8702,$55.27M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/wyig,
1670,WYIGU,JM Global Holding Company,10.15,$56.83M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/wyigu,
1671,WYIGW,JM Global Holding Company,0.4099,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/wyigw,
1672,JMU,JMU Limited,1.09,$89.36M,2015,Technology,EDP Services,http://www.nasdaq.com/symbol/jmu,
1673,JBSS,"John B. Sanfilippo & Son, Inc.",58.81,$664.4M,1991,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/jbss,
